name,rating,review_count,latitude,longitude,postal_code,menu_data_updated,categories
Mac McGee,3.5,88,34.024029,-84.361818,30075,,"[Category(name=u'Restaurant Irlandais', alias=u'irish'), Category(name=u'Pubs', alias=u'pubs')]"
Stoney River Steakhouse and Grill,4.0,131,34.0371294046873,-84.3437243586779,30076,1460399318,"[Category(name=u'Restaurant Grill', alias=u'steak'), Category(name=u'Restaurant de fruits de mer', alias=u'seafood'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]"
OTP Tap & Grill,3.5,56,34.0188065,-84.3173436,30076,,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican'), Category(name=u'Bar', alias=u'bars')]"
Pure Taqueria,3.0,116,34.0296859741211,-84.3545989990234,30075,1442106300,"[Category(name=u'Bar', alias=u'bars'), Category(name=u'Restaurant Mexicain', alias=u'mexican')]"
Pastis Restaurant,3.0,89,34.023649,-84.361721,30075,1448475580,"[Category(name=u'Restaurant Fran\xe7ais', alias=u'french')]"
Zoës Kitchen,4.0,17,34.0629818046773,-84.3961405009031,30075,1460198626,"[Category(name=u'Restaurant M\xe9diterran\xe9en', alias=u'mediterranean'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Restaurant Grec', alias=u'greek')]"
Thai Emerald,4.0,85,34.05582,-84.37843,30075,,"[Category(name=u'Tha\xef', alias=u'thai')]"
The Real Fix Pizzeria,4.0,59,34.0242157,-84.3610229,30075,1442228294,"[Category(name=u'Pizza', alias=u'pizza')]"
Chicago's Restaurant,3.5,48,34.0281982,-84.4217911,30075,1442264268,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]"
Keegan's Public House,3.5,37,34.0282430810927,-84.4221505716756,30075,,"[Category(name=u'Pubs', alias=u'pubs'), Category(name=u'Restaurant Irlandais', alias=u'irish')]"
Corner Pizza,4.0,20,34.0623734882793,-84.4227608639109,30075,,"[Category(name=u'Pizza', alias=u'pizza')]"
Ippolito's Italian Restaurant,3.5,51,34.0045776367188,-84.2961807250977,30076,,"[Category(name=u'Restaurant Italien', alias=u'italian')]"
Tanaka Japanese Restaurant,4.0,124,34.0543838873809,-84.329252243042,30076,,"[Category(name=u'Restaurant Japonais', alias=u'japanese'), Category(name=u'Sushi', alias=u'sushi')]"
Pearl Raw Bar,4.5,7,34.024743,-84.361253,30075,,"[Category(name=u'Restaurant de fruits de mer', alias=u'seafood'), Category(name=u'Sushi', alias=u'sushi')]"
McAlister's Deli,3.5,26,34.0198402,-84.3201523,30076,,"[Category(name=u'Deli', alias=u'delis'), Category(name=u'Salade', alias=u'salad'), Category(name=u'Sandwich', alias=u'sandwiches')]"
Land of a Thousand Hills Coffee House,4.0,198,34.00829,-84.3602499,30075,,"[Category(name=u'Caf\xe9 et th\xe9', alias=u'coffee'), Category(name=u'Caf\xe9', alias=u'cafes')]"
Chicken Salad Chick,4.0,12,34.0631118,-84.3961451,30075,,"[Category(name=u'Salade', alias=u'salad'), Category(name=u'Sandwich', alias=u'sandwiches'), Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]"
Your Pie,4.0,53,34.0599055503849,-84.3813337585958,30075,,"[Category(name=u'Pizza', alias=u'pizza'), Category(name=u'Salade', alias=u'salad'), Category(name=u'Restaurant Italien', alias=u'italian')]"
El Jinete Mexican Restaurant,3.5,45,34.0631250656381,-84.4241718631113,30075,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]"
Bella Italia,3.0,43,34.0057411,-84.388916,30075,,"[Category(name=u'Restaurant Italien', alias=u'italian')]"
Cafe Au Lait,4.0,33,34.006153,-84.294746,30076,,"[Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch'), Category(name=u'Caf\xe9', alias=u'cafes')]"
Doubles Pizza,4.0,40,34.019409,-84.278747,30022,1455133168,"[Category(name=u'Pizza', alias=u'pizza')]"
Roswell Tap,3.0,79,34.028377,-84.358421,30075,,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican'), Category(name=u'Pubs', alias=u'pubs')]"
Marlow's Tavern,3.5,20,34.0602566,-84.3813484,30075,,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Pub gastronomique', alias=u'gastropubs'), Category(name=u'Burger', alias=u'burgers')]"
Diesel Pizza & Pub,2.5,152,34.0254066,-84.3604111,30075,,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican'), Category(name=u'Pizza', alias=u'pizza'), Category(name=u'Sandwich', alias=u'sandwiches')]"
Baguettes & Bagels Deli,4.0,29,34.0423737705019,-84.3299660682324,30076,,"[Category(name=u'Deli', alias=u'delis'), Category(name=u'Bagel', alias=u'bagels')]"
Dreamland Bar-B Que,3.0,120,34.0413284301758,-84.3428649902344,30076,1460307983,"[Category(name=u'Viandes et Barbecue', alias=u'bbq')]"
Big Pie In The Sky Pizzeria,4.0,38,34.0430315853569,-84.3274526075148,30076,,"[Category(name=u'Pizza', alias=u'pizza')]"
Sake Japanese Steakhouse & Sushi,3.5,33,34.0634071864527,-84.3991049026766,30075,1455657375,"[Category(name=u'Sushi', alias=u'sushi'), Category(name=u'Restaurant Japonais', alias=u'japanese'), Category(name=u'Restaurant Grill', alias=u'steak')]"
Chopstix,3.5,26,34.0618210784396,-84.4224586710334,30075,,"[Category(name=u'Sushi', alias=u'sushi')]"
China Garden,3.5,38,34.0333524633076,-84.3419336321161,30076,1442285516,"[Category(name=u'Restaurant Chinois', alias=u'chinese')]"
JP Sushi,4.0,46,34.020897,-84.317596,30076,,"[Category(name=u'Restaurant Japonais', alias=u'japanese'), Category(name=u'Sushi', alias=u'sushi')]"
Provinos Italian Restaurant,3.5,40,34.0314445495605,-84.34130859375,30075,,"[Category(name=u'Restaurant Italien', alias=u'italian')]"
India Chef Restaurant,3.5,87,34.0320167541504,-84.3392944335938,30076,1455566036,"[Category(name=u'Restaurant Indien', alias=u'indpak')]"
Tokyo Boat,3.0,32,34.06118,-84.3895299,30075,1442073066,"[Category(name=u'Restaurant Japonais', alias=u'japanese'), Category(name=u'Sushi', alias=u'sushi')]"
Monterrey Mexican Restaurant,3.0,97,34.005232056288,-84.2955453516765,30076,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]"
Panda Cafe,3.5,12,34.0378868579865,-84.3456874787807,30075,1459537111,"[Category(name=u'Restaurant Chinois', alias=u'chinese')]"
Taco Mac,2.5,78,34.0594726353852,-84.3819844722748,30075,,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican'), Category(name=u'Bar des sports', alias=u'sportsbars')]"
Rice Thai Cuisine,4.0,108,34.0287399,-84.3618469,30075,,"[Category(name=u'Tha\xef', alias=u'thai')]"
Tin Drum Asiacafé,3.0,46,34.044357,-84.342383,30076,,"[Category(name=u'Restaurant Asiatique', alias=u'asianfusion'), Category(name=u'Sans gluten', alias=u'gluten_free'), Category(name=u'Restaurant V\xe9g\xe9tarien', alias=u'vegetarian')]"
Alessio's Restaurant & Pizzeria,3.5,31,34.0572048846289,-84.3818934007472,30075,,"[Category(name=u'Pizza', alias=u'pizza'), Category(name=u'Restaurant Italien', alias=u'italian')]"
