name,rating,review_count,latitude,longitude,postal_code,menu_data_updated,categories,City,State
Cypress Street Pint & Plate,4.0,773,33.7772853666442,-84.3861176305236,30308,1460526600,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Ailes de poulet', alias=u'chicken_wings'), Category(name=u'Burger', alias=u'burgers')]",Atlanta,GA
Two Urban Licks,4.0,1385,33.7677347660065,-84.3601103872061,30306,1441967351,"[Category(name=u'Bar', alias=u'bars'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Atlanta,GA
Hankook Taqueria,4.0,656,33.811352,-84.431628,30318,1442018544,"[Category(name=u'Restaurant Mexicain', alias=u'mexican'), Category(name=u'Restaurant Cor\xe9en', alias=u'korean'), Category(name=u'Restaurant Asiatique', alias=u'asianfusion')]",Atlanta,GA
JCT Kitchen & Bar,4.0,1037,33.7866310636518,-84.4124207264587,30318,1441992701,"[Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern')]",Atlanta,GA
Venkmans,4.5,81,33.7666899,-84.36338,30312,1448702099,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Salle de concert', alias=u'musicvenues')]",Atlanta,GA
Bacchanalia,4.5,467,33.78678,-84.41226,30318,1442285613,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Atlanta,GA
Eat Me Speak Me,4.5,14,33.7649749,-84.3332728,30307,,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Atlanta,GA
RReal Tacos,4.5,59,33.7774916,-84.3832099,30308,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]",Atlanta,GA
Ocean Market Downtown,4.5,32,33.7678527832031,-84.3848724365234,30308,1442203494,"[Category(name=u'Salade', alias=u'salad'), Category(name=u'Cr\xeaperie', alias=u'creperies'), Category(name=u'Sandwich', alias=u'sandwiches')]",Atlanta,GA
The Optimist,4.0,809,33.77999,-84.41069,30318,1442102395,"[Category(name=u'Restaurant de fruits de mer', alias=u'seafood')]",Atlanta,GA
Chama Gaucha Brazilian Steakhouse,5.0,243,33.8469918,-84.372829,30305,1442231187,"[Category(name=u'Restaurant Grill', alias=u'steak'), Category(name=u'Restaurant Br\xe9silien', alias=u'brazilian')]",Atlanta,GA
bartaco West Midtown,4.0,559,33.778736,-84.409325,30318,1442207246,"[Category(name=u'Restaurant Mexicain', alias=u'mexican'), Category(name=u'Bar \xe0 tapas', alias=u'tapas')]",Atlanta,GA
Argosy,4.0,321,33.741258,-84.346118,30316,1442114546,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Pub gastronomique', alias=u'gastropubs'), Category(name=u'Burger', alias=u'burgers')]",Atlanta,GA
Busy Bee Cafe,4.0,309,33.7544898986816,-84.4140319824219,30314,,"[Category(name=u'Cuisine afro-am\xe9ricaine', alias=u'soulfood')]",Atlanta,GA
Gus's World Famous Fried Chicken,4.0,178,33.7601868238715,-84.3861887514263,30303,,"[Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern'), Category(name=u'Poulet', alias=u'chickenshop'), Category(name=u'Cuisine afro-am\xe9ricaine', alias=u'soulfood')]",Atlanta,GA
One Eared Stag,4.0,292,33.756794705987,-84.3547915667295,30307,1442088767,"[Category(name=u'Assiettes et planches', alias=u'tapasmallplates'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Atlanta,GA
Cabbage Pie,4.5,57,33.7495155334473,-84.3678436279297,30312,1450081935,"[Category(name=u'Bar', alias=u'bars'), Category(name=u'Pizza', alias=u'pizza'), Category(name=u'Restaurant Italien', alias=u'italian')]",Atlanta,GA
Bezoria,4.5,187,33.7793106359212,-84.3838573247194,30309,1447906100,"[Category(name=u'Restaurant M\xe9diterran\xe9en', alias=u'mediterranean'), Category(name=u'Restaurant V\xe9g\xe9talien', alias=u'vegan'), Category(name=u'Restaurant Moyen-Orient', alias=u'mideastern')]",Atlanta,GA
Wagaya Japanese Restaurant,4.0,180,33.78648,-84.39832,30318,,"[Category(name=u'Restaurant Japonais', alias=u'japanese'), Category(name=u'Sushi', alias=u'sushi')]",Atlanta,GA
Buttermilk Kitchen,4.0,456,33.869862,-84.380569,30342,1444393888,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican'), Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch')]",Atlanta,GA
Staplehouse,4.5,37,33.7540130615234,-84.3699035644531,30312,1447925450,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Atlanta,GA
Grindhouse Killer Burgers,4.0,271,33.75403,-84.3798599,30303,,"[Category(name=u'Burger', alias=u'burgers')]",Atlanta,GA
Kwan's Deli and Korean Kitchen,4.5,117,33.7610504378672,-84.3940759761963,30313,1442374654,"[Category(name=u'Deli', alias=u'delis'), Category(name=u'Restaurant Cor\xe9en', alias=u'korean'), Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]",Atlanta,GA
Agave Restaurant,4.0,545,33.748041,-84.368078,30312,1460308152,"[Category(name=u'Restaurant Tex-mex', alias=u'tex-mex')]",Atlanta,GA
The Lawrence,4.0,249,33.7791016,-84.3824954,30309,1442100538,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Bar \xe0 Cocktails', alias=u'cocktailbars')]",Atlanta,GA
Mary Mac's Tea Room,4.0,1554,33.772851,-84.379883,30308,1441941293,"[Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern')]",Atlanta,GA
Murphy's,4.0,685,33.7820899,-84.35487,30306,1441941287,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican'), Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch'), Category(name=u'Dessert', alias=u'desserts')]",Atlanta,GA
King + Duke,4.0,404,33.8392638630001,-84.380616169874,30305,1460126626,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Atlanta,GA
Ammazza,4.0,365,33.7540626525879,-84.3680038452148,30312,,"[Category(name=u'Pizza', alias=u'pizza'), Category(name=u'Restaurant Italien', alias=u'italian'), Category(name=u'Restaurant V\xe9g\xe9talien', alias=u'vegan')]",Atlanta,GA
El Mexicano,4.0,154,33.7183914,-84.3506393,30316,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]",Atlanta,GA
Sweet Georgia's Juke Joint,3.5,616,33.7591758370399,-84.3876446038485,30303,1442084740,"[Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern'), Category(name=u'Salles et espaces \xe9v\xe9nementiels', alias=u'venues')]",Atlanta,GA
Superica,4.0,318,33.7565193,-84.3640518,30307,1442230983,"[Category(name=u'Restaurant Tex-mex', alias=u'tex-mex')]",Atlanta,GA
Ah-Ma's Taiwanese Kitchen,4.0,245,33.7798404,-84.3683395,30308,,"[Category(name=u'Restaurant ta\xefwanais', alias=u'taiwanese')]",Atlanta,GA
"Tom, Dick & Hank",4.0,81,33.73701,-84.39419,30312,1460457867,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican'), Category(name=u'Viandes et Barbecue', alias=u'bbq')]",Atlanta,GA
Le Fat,4.0,150,33.7779007,-84.4085388,30318,,"[Category(name=u'Restaurant Vietnamien', alias=u'vietnamese')]",Atlanta,GA
Fat Matt's Rib Shack,4.0,1454,33.804595,-84.367137,30324,1442285620,"[Category(name=u'Viandes et Barbecue', alias=u'bbq')]",Atlanta,GA
Bantam Pub,4.0,177,33.7661170959473,-84.3629684448242,30312,1460125469,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Pubs', alias=u'pubs')]",Atlanta,GA
Sweet Auburn BBQ,4.0,272,33.7725968060596,-84.3523435975124,30306,1453703173,"[Category(name=u'Bar \xe0 Cocktails', alias=u'cocktailbars'), Category(name=u'Viandes et Barbecue', alias=u'bbq'), Category(name=u'Sandwich', alias=u'sandwiches')]",Atlanta,GA
Big Daddys Dish,4.5,110,33.6033308797374,-84.4728007167578,30349,,"[Category(name=u'Cuisine afro-am\xe9ricaine', alias=u'soulfood')]",Atlanta,GA
Cooks & Soldiers,4.0,215,33.7860713,-84.4108453,30318,1442203552,"[Category(name=u'Restaurant Espagnol', alias=u'spanish'), Category(name=u'Restaurant Fran\xe7ais', alias=u'french')]",Atlanta,GA
Touch,4.5,17,33.7859348008621,-84.4009537249804,30318,1458461017,"[Category(name=u'Restaurant Indien', alias=u'indpak')]",Atlanta,GA
Cafe Agora Midtown,4.5,132,33.7808638542225,-84.3843740962804,30309,,"[Category(name=u'Restaurant M\xe9diterran\xe9en', alias=u'mediterranean')]",Atlanta,GA
Nick's Food To Go,4.5,236,33.7475243,-84.3795853,30312,1442285601,"[Category(name=u'Restaurant Grec', alias=u'greek'), Category(name=u'Burger', alias=u'burgers'), Category(name=u'Restaurant M\xe9diterran\xe9en', alias=u'mediterranean')]",Atlanta,GA
Star Provisions,4.0,404,33.7868423461914,-84.4122543334961,30318,,"[Category(name=u'Fromagerie', alias=u'cheese'), Category(name=u'Boucherie charcuterie', alias=u'meats'), Category(name=u'Sandwich', alias=u'sandwiches')]",Atlanta,GA
Stationside,4.5,20,33.7816272430472,-84.4156076386571,30318,,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Sans gluten', alias=u'gluten_free'), Category(name=u'Restaurant V\xe9g\xe9tarien', alias=u'vegetarian')]",Atlanta,GA
Ted's Montana Grill,4.0,377,33.7590293884277,-84.3908767700195,30303,1442374484,"[Category(name=u'Burger', alias=u'burgers'), Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]",Atlanta,GA
ADios Cafe,4.5,139,33.7498012,-84.4009361,30313,1450857516,"[Category(name=u'Caf\xe9 et th\xe9', alias=u'coffee'), Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch'), Category(name=u'Dessert', alias=u'desserts')]",Atlanta,GA
Egg Harbor Café,4.5,278,33.804916,-84.39367,30309,,"[Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch'), Category(name=u'Sans gluten', alias=u'gluten_free'), Category(name=u'Sandwich', alias=u'sandwiches')]",Atlanta,GA
Umi,4.5,254,33.8385923483049,-84.3813416980268,30305,1442117832,"[Category(name=u'Sushi', alias=u'sushi')]",Atlanta,GA
The Vortex Bar And Grill,4.0,1104,33.77872,-84.38452,30309,,"[Category(name=u'Burger', alias=u'burgers'), Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican'), Category(name=u'Sandwich', alias=u'sandwiches')]",Atlanta,GA
Ration & Dram,4.0,98,33.7583849,-84.332198,30307,1442203552,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican'), Category(name=u'Bar \xe0 Cocktails', alias=u'cocktailbars')]",Atlanta,GA
Papi's Cuban & Caribbean Grill,4.0,590,33.7726898,-84.3805695,30308,,"[Category(name=u'Restaurant Cubain', alias=u'cuban'), Category(name=u'Restaurant Carib\xe9en', alias=u'caribbean')]",Atlanta,GA
